

Training : at 	1528064478.163667
Epoch No:	Average train Cost	 DevAccuracy	DevCost	TestAccuracy	TestCost
0:	2.3941274072442735	60.0	0.6424920558929443	63.39285714285714	0.6362571120262146
1:	2.283985895769937	60.0	0.619221031665802	63.39285714285714	0.6059050559997559
2:	2.2023725594793047	60.0	0.5914562344551086	63.39285714285714	0.5789654850959778
3:	2.135362058877945	66.66666666666666	0.5585333704948425	67.85714285714286	0.5484351515769958
4:	2.066660789506776	73.33333333333333	0.5255765318870544	74.10714285714286	0.516516387462616
5:	1.9976040422916412	74.66666666666667	0.5015795230865479	75.89285714285714	0.4875134229660034
6:	1.9294342015470778	78.66666666666666	0.479328989982605	76.33928571428571	0.46242183446884155
7:	1.8667699205023902	81.33333333333333	0.46298763155937195	77.67857142857143	0.4445335865020752
8:	1.8085830275501524	80.0	0.4531194567680359	79.01785714285714	0.4329453110694885
9:	1.757909391607557	80.0	0.43809399008750916	79.91071428571429	0.4228660762310028
10:	1.7121756289686476	81.33333333333333	0.42844295501708984	79.91071428571429	0.4176177680492401
11:	1.6710546676601683	80.0	0.4197072386741638	80.35714285714286	0.414765328168869
12:	1.6314200056450707	81.33333333333333	0.42786896228790283	80.80357142857143	0.4136914908885956
13:	1.595051571726799	81.33333333333333	0.426062673330307	80.35714285714286	0.411822646856308
14:	1.5607171995299203	81.33333333333333	0.43070998787879944	80.80357142857143	0.41213271021842957
15:	1.5275930421692985	80.0	0.42895087599754333	80.80357142857143	0.41146767139434814
16:	1.4947557577065058	81.33333333333333	0.4251715838909149	80.35714285714286	0.4110301434993744
17:	1.4640545568295888	81.33333333333333	0.430215060710907	80.80357142857143	0.41174423694610596
18:	1.4338698706456594	81.33333333333333	0.4411769211292267	80.35714285714286	0.41454166173934937
19:	1.4046005351202828	81.33333333333333	0.4275375008583069	80.35714285714286	0.411207377910614
20:	1.376206412911415	81.33333333333333	0.4284469187259674	80.80357142857143	0.41173309087753296
21:	1.3467943732227599	80.0	0.4378351867198944	80.35714285714286	0.4134637117385864
22:	1.3192312909024102	81.33333333333333	0.43249285221099854	81.25	0.4123026430606842
23:	1.2919857182673045	81.33333333333333	0.43589451909065247	80.80357142857143	0.4133881628513336
24:	1.2649369133370263	81.33333333333333	0.4342506527900696	80.80357142857143	0.41326504945755005
25:	1.238820071731295	81.33333333333333	0.42995402216911316	81.25	0.4124925434589386
26:	1.2129347388233458	81.33333333333333	0.42866650223731995	81.25	0.412686288356781
27:	1.185860174042838	81.33333333333333	0.4449816346168518	79.01785714285714	0.41789525747299194
28:	1.1618479660579137	81.33333333333333	0.43742433190345764	80.35714285714286	0.4149537980556488
29:	1.1364972591400146	81.33333333333333	0.4403502941131592	79.01785714285714	0.41630667448043823
30:	1.1125570854970388	81.33333333333333	0.42897292971611023	80.80357142857143	0.41348034143447876
31:	1.0881527257817132	81.33333333333333	0.42796561121940613	80.80357142857143	0.41378161311149597
32:	1.0643531445946013	81.33333333333333	0.43358367681503296	80.35714285714286	0.4154197871685028
33:	1.0412394244756018	81.33333333333333	0.43625813722610474	79.46428571428571	0.4165715277194977
34:	1.018205110515867	81.33333333333333	0.4299529194831848	80.80357142857143	0.41517338156700134
35:	0.9954896505389895	81.33333333333333	0.4239427149295807	79.91071428571429	0.4153206944465637
36:	0.9737942069768906	81.33333333333333	0.4268540143966675	79.46428571428571	0.41514256596565247
37:	0.9524683047618184	81.33333333333333	0.43196988105773926	79.91071428571429	0.41593343019485474
38:	0.9315184833748	81.33333333333333	0.4317399263381958	79.91071428571429	0.4159350097179413
39:	0.9103891892092568	81.33333333333333	0.4244816303253174	79.46428571428571	0.4154658615589142
40:	0.8910185151866504	81.33333333333333	0.4267257750034332	79.46428571428571	0.4147622287273407
41:	0.8718631884881428	81.33333333333333	0.42815592885017395	80.35714285714286	0.4152770936489105
42:	0.8519262980137553	81.33333333333333	0.42988547682762146	79.46428571428571	0.4155895411968231
43:	0.8344097222600665	81.33333333333333	0.42506644129753113	80.35714285714286	0.4151775538921356
44:	0.8160345894949776	81.33333333333333	0.43261322379112244	79.46428571428571	0.4169768989086151
45:	0.7995291139398303	81.33333333333333	0.4258851110935211	80.35714285714286	0.41510269045829773
46:	0.7828808033040592	81.33333333333333	0.4299907982349396	79.46428571428571	0.41621026396751404
47:	0.76679648991142	81.33333333333333	0.4192288815975189	79.91071428571429	0.4160844385623932
48:	0.7524773840393338	81.33333333333333	0.42618051171302795	79.91071428571429	0.41565850377082825
49:	0.7384992114135197	81.33333333333333	0.4235113561153412	79.91071428571429	0.41546839475631714
50:	0.7249584144779614	81.33333333333333	0.4230477511882782	79.46428571428571	0.4158489406108856
51:	0.7122636554496629	81.33333333333333	0.4278551936149597	79.46428571428571	0.41773751378059387
52:	0.7007667613880975	81.33333333333333	0.4213157892227173	79.46428571428571	0.41638097167015076
53:	0.6900281235575676	81.33333333333333	0.42223459482192993	79.46428571428571	0.4164562523365021
