

Training : at 	1528064731.1498718
Epoch No:	Average train Cost	 DevAccuracy	DevCost	TestAccuracy	TestCost
0:	3.132011614650129	21.363636363636363	2.1427664756774902	27.31411229135053	2.137584686279297
1:	3.0926382512931365	22.272727272727273	2.114553689956665	27.617602427921096	2.1047258377075195
2:	3.058136009308229	22.272727272727273	2.0887317657470703	27.617602427921096	2.0745463371276855
3:	3.0295020729662423	22.272727272727273	2.067795515060425	27.617602427921096	2.0499391555786133
4:	3.004443392696151	22.272727272727273	2.0500941276550293	27.617602427921096	2.0293984413146973
5:	2.984133927218885	22.272727272727273	2.0353190898895264	27.617602427921096	2.0121397972106934
6:	2.965100162000541	22.272727272727273	2.0228004455566406	27.617602427921096	1.9973686933517456
7:	2.9497764397816484	22.272727272727273	2.0122463703155518	27.617602427921096	1.9850131273269653
8:	2.9355040314685867	22.272727272727273	2.0029497146606445	27.617602427921096	1.9742318391799927
9:	2.925106996513275	22.272727272727273	1.9950507879257202	27.617602427921096	1.9651234149932861
10:	2.913426821490368	22.272727272727273	1.9878430366516113	27.617602427921096	1.9570988416671753
11:	2.9045536862798484	22.272727272727273	1.9814996719360352	27.617602427921096	1.9500917196273804
12:	2.8935836194509483	22.272727272727273	1.9758796691894531	27.617602427921096	1.9437447786331177
13:	2.8850513969559266	22.272727272727273	1.9708224534988403	27.617602427921096	1.9380983114242554
14:	2.8771676126732886	22.272727272727273	1.966212511062622	27.617602427921096	1.9331700801849365
15:	2.8696467244481467	22.272727272727273	1.9620755910873413	27.617602427921096	1.928582787513733
16:	2.863809373005327	22.272727272727273	1.9581515789031982	27.617602427921096	1.9245227575302124
17:	2.8557753132050294	22.272727272727273	1.9546908140182495	27.617602427921096	1.920745611190796
18:	2.8499668822231063	22.272727272727273	1.9512903690338135	27.617602427921096	1.9173108339309692
19:	2.846003291118576	22.272727272727273	1.9484295845031738	27.617602427921096	1.9142966270446777
20:	2.839670138186719	22.272727272727273	1.9456309080123901	27.617602427921096	1.9114402532577515
21:	2.837301214057279	22.272727272727273	1.9429233074188232	27.617602427921096	1.9089950323104858
22:	2.827096953449479	22.272727272727273	1.9406625032424927	27.617602427921096	1.9062292575836182
23:	2.8255789796990083	22.272727272727273	1.9383397102355957	27.617602427921096	1.9039371013641357
24:	2.8184169257979796	22.272727272727273	1.9361624717712402	27.617602427921096	1.9016841650009155
25:	2.814579972301621	22.272727272727273	1.9341562986373901	27.617602427921096	1.8993802070617676
26:	2.8072905224489877	22.272727272727273	1.9322036504745483	27.617602427921096	1.8972028493881226
27:	2.8017637212592437	22.272727272727273	1.930302381515503	27.617602427921096	1.8951051235198975
